amplitude,width,peak_f_pbh,allowed
0.006,0.2,5.178118213482214e-32,True
0.006,0.33999999999999997,9.065796020854157e-32,True
0.006,0.48,1.0501944133871497e-31,True
0.006,0.6199999999999999,1.1143014776619584e-31,True
0.006,0.76,1.1478195316071545e-31,True
0.006,0.9,1.1673983618823653e-31,True
0.008,0.2,1.391658738999858e-22,True
0.008,0.33999999999999997,2.119828231498698e-22,True
0.008,0.48,2.3674933025390835e-22,True
0.008,0.6199999999999999,2.47528337664032e-22,True
0.008,0.76,2.531024363739881e-22,True
0.008,0.9,2.563396752516484e-22,True
0.01,0.2,6.48343432019316e-17,True
0.01,0.33999999999999997,9.084299553671674e-17,True
0.01,0.48,9.925527877668731e-17,True
0.01,0.6199999999999999,1.0286117215879029e-16,True
0.01,0.76,1.0471359329703408e-16,True
0.01,0.9,1.0578569126391498e-16,True
0.012,0.2,3.959857113142129e-13,True
0.012,0.33999999999999997,5.247791045759812e-13,True
0.012,0.48,5.650510261089797e-13,True
0.012,0.6199999999999999,5.821387115270734e-13,True
0.012,0.76,5.908784053343423e-13,True
0.012,0.9,5.959248687788456e-13,True
0.014,0.2,2.0269775081001697e-10,True
0.014,0.33999999999999997,2.5814667969525134e-10,True
0.014,0.48,2.7506850966237387e-10,True
0.014,0.6199999999999999,2.8219652225582924e-10,True
0.014,0.76,2.858307639758588e-10,True
0.014,0.9,2.879257810779457e-10,True
0.016,0.2,2.2000168064421166e-08,True
0.016,0.33999999999999997,2.7194615779556214e-08,True
0.016,0.48,2.8751092825998115e-08,True
0.016,0.6199999999999999,2.9403159290399707e-08,True
0.016,0.76,2.9734833101894673e-08,True
0.016,0.9,2.992579512634386e-08,True
0.018000000000000002,0.2,8.482206210167141e-07,True
0.018000000000000002,0.33999999999999997,1.0244346058635318e-06,True
0.018000000000000002,0.48,1.0764868019682845e-06,True
0.018000000000000002,0.6199999999999999,1.0982009121805921e-06,True
0.018000000000000002,0.76,1.109225519773672e-06,True
0.018000000000000002,0.9,1.1155668523885287e-06,True
0.02,0.2,1.5835937890101798e-05,True
0.02,0.33999999999999997,1.877384076107522e-05,True
0.02,0.48,1.963178558297943e-05,True
0.02,0.6199999999999999,1.9988470378233484e-05,True
0.02,0.76,2.016929893252612e-05,True
0.02,0.9,2.027323101479648e-05,True
